"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2021-05-15","Boston Bruins","2","Washington Capitals","3","OT","5,333","2:58",""
"2","2021-05-16","Tampa Bay Lightning","5","Florida Panthers","4","","9,646","2:47",""
"3","2021-05-16","Minnesota Wild","1","Vegas Golden Knights","0","OT","8,683","2:50",""
"4","2021-05-16","New York Islanders","4","Pittsburgh Penguins","3","OT","4,672","3:09",""
"5","2021-05-17","Nashville Predators","2","Carolina Hurricanes","5","","12,000","2:45",""
"6","2021-05-17","St. Louis Blues","1","Colorado Avalanche","4","","7,741","2:34",""
"7","2021-05-17","Boston Bruins","4","Washington Capitals","3","OT","5,333","2:53",""
"8","2021-05-18","Tampa Bay Lightning","3","Florida Panthers","1","","9,646","2:32",""
"9","2021-05-18","New York Islanders","1","Pittsburgh Penguins","2","","9,344","2:28",""
"10","2021-05-18","Minnesota Wild","1","Vegas Golden Knights","3","","8,683","2:33",""
"11","2021-05-19","Washington Capitals","2","Boston Bruins","3","2OT","4,565","3:54",""
"12","2021-05-19","Nashville Predators","0","Carolina Hurricanes","3","","12,000","2:36",""
"13","2021-05-19","St. Louis Blues","3","Colorado Avalanche","6","","7,739","2:29",""
"14","2021-05-19","Winnipeg Jets","4","Edmonton Oilers","1","","","2:22",""
"15","2021-05-20","Montreal Canadiens","2","Toronto Maple Leafs","1","","","2:44",""
"16","2021-05-20","Florida Panthers","6","Tampa Bay Lightning","5","OT","9,508","3:05",""
"17","2021-05-20","Pittsburgh Penguins","5","New York Islanders","4","","6,800","2:48","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"18","2021-05-20","Vegas Golden Knights","5","Minnesota Wild","2","","4,500","2:30",""
"19","2021-05-21","Washington Capitals","1","Boston Bruins","4","","4,565","2:46",""
"20","2021-05-21","Winnipeg Jets","1","Edmonton Oilers","0","OT","","2:50",""
"21","2021-05-21","Carolina Hurricanes","4","Nashville Predators","5","2OT","12,135","4:08",""
"22","2021-05-21","Colorado Avalanche","5","St. Louis Blues","1","","9,000","2:30",""
"23","2021-05-22","Vegas Golden Knights","4","Minnesota Wild","0","","4,500","2:24",""
"24","2021-05-22","Pittsburgh Penguins","1","New York Islanders","4","","6,800","2:26","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"25","2021-05-22","Florida Panthers","2","Tampa Bay Lightning","6","","9,762","2:51",""
"26","2021-05-22","Montreal Canadiens","1","Toronto Maple Leafs","5","","","2:33",""
"27","2021-05-23","Carolina Hurricanes","3","Nashville Predators","4","2OT","12,135","4:02",""
"28","2021-05-23","Colorado Avalanche","5","St. Louis Blues","2","","9,000","2:30",""
"29","2021-05-23","Edmonton Oilers","4","Winnipeg Jets","5","OT","","2:52",""
"30","2021-05-23","Boston Bruins","3","Washington Capitals","1","","5,333","2:33",""
"31","2021-05-24","Edmonton Oilers","3","Winnipeg Jets","4","3OT","","4:19",""
"32","2021-05-24","Minnesota Wild","4","Vegas Golden Knights","2","","12,156","2:28",""
"33","2021-05-24","Toronto Maple Leafs","2","Montreal Canadiens","1","","","2:32",""
"34","2021-05-24","New York Islanders","3","Pittsburgh Penguins","2","2OT","9,344","3:23",""
"35","2021-05-24","Tampa Bay Lightning","1","Florida Panthers","4","","11,551","2:31",""
"36","2021-05-25","Nashville Predators","2","Carolina Hurricanes","3","OT","12,000","3:04",""
"37","2021-05-25","Toronto Maple Leafs","4","Montreal Canadiens","0","","","2:25",""
"38","2021-05-26","Vegas Golden Knights","0","Minnesota Wild","3","","4,500","2:39",""
"39","2021-05-26","Pittsburgh Penguins","3","New York Islanders","5","","9,000","2:29","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"40","2021-05-26","Florida Panthers","0","Tampa Bay Lightning","4","","10,092","2:25",""
"41","2021-05-27","Carolina Hurricanes","4","Nashville Predators","3","OT","14,107","2:45",""
"42","2021-05-27","Montreal Canadiens","4","Toronto Maple Leafs","3","OT","","2:43",""
"43","2021-05-28","Minnesota Wild","2","Vegas Golden Knights","6","","12,156","2:37",""
"44","2021-05-29","New York Islanders","2","Boston Bruins","5","","17,400","2:37",""
"45","2021-05-29","Toronto Maple Leafs","2","Montreal Canadiens","3","OT","","3:07",""
"46","2021-05-30","Tampa Bay Lightning","","Carolina Hurricanes","","","","",""
"47","2021-05-30","Vegas Golden Knights","","Colorado Avalanche","","","","",""
"48","2021-05-31","New York Islanders","","Boston Bruins","","","","",""
"49","2021-05-31","Montreal Canadiens","","Toronto Maple Leafs","","","","",""
"50","2021-06-01","Tampa Bay Lightning","","Carolina Hurricanes","","","","",""
"51","2021-06-02","Vegas Golden Knights","","Colorado Avalanche","","","","",""
"52","2021-06-03","Boston Bruins","","New York Islanders","","","","","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"53","2021-06-03","Carolina Hurricanes","","Tampa Bay Lightning","","","","",""
"54","2021-06-04","Colorado Avalanche","","Vegas Golden Knights","","","","",""
"55","2021-06-05","Boston Bruins","","New York Islanders","","","","","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"56","2021-06-05","Carolina Hurricanes","","Tampa Bay Lightning","","","","",""
"57","2021-06-06","Colorado Avalanche","","Vegas Golden Knights","","","","",""
"58","2021-06-07","New York Islanders","","Boston Bruins","","","","",""
"59","2021-06-08","Tampa Bay Lightning","","Carolina Hurricanes","","","","",""
"60","2021-06-08","Vegas Golden Knights","","Colorado Avalanche","","","","",""
"61","2021-06-09","Boston Bruins","","New York Islanders","","","","","at Nassau Veterans Memorial Coliseum (Uniondale, NY)"
"62","2021-06-10","Carolina Hurricanes","","Tampa Bay Lightning","","","","",""
"63","2021-06-10","Colorado Avalanche","","Vegas Golden Knights","","","","",""
"64","2021-06-11","New York Islanders","","Boston Bruins","","","","",""
"65","2021-06-12","Tampa Bay Lightning","","Carolina Hurricanes","","","","",""
"66","2021-06-12","Vegas Golden Knights","","Colorado Avalanche","","","","",""
